year,month,rates
2019.0,1.0,1.0630372621223736
2019.0,2.0,1.039197035999961
2019.0,3.0,1.0327472836277445
2019.0,4.0,1.000619996134142
2019.0,5.0,0.9848453611597284
2019.0,6.0,1.0080473592235442
2019.0,7.0,1.0109294869663157
2019.0,8.0,0.9414693528646237
2019.0,9.0,0.9658984054064718
2019.0,10.0,0.9888741942036717
2019.0,11.0,0.9569960218932276
2019.0,12.0,0.9571180414399177
2020.0,1.0,0.9836934359268669
2020.0,2.0,0.9638859598842882
2020.0,3.0,0.9242450034304032
2020.0,4.0,0.8968566162388685
2020.0,5.0,0.9253315230875373
2020.0,6.0,0.888940399337125
2020.0,7.0,0.8393158609126538
2020.0,8.0,0.9046232198548604
2020.0,9.0,0.8064218257659186
2020.0,10.0,0.8632714292019527
2020.0,11.0,0.848858444209062
2020.0,12.0,0.8422849106598596
2021.0,1.0,0.822518447884995
2021.0,2.0,0.8453896772194459
2021.0,3.0,0.8301743334535172
2021.0,4.0,0.8508083305409772
2021.0,5.0,0.8898836191549215
2021.0,6.0,0.8378418287082336
2021.0,7.0,0.8889165687162344
2021.0,8.0,0.8693113789636946
2021.0,9.0,0.8920037453405155
2021.0,10.0,0.956407309342245
2021.0,11.0,0.946380600286278
2021.0,12.0,0.8971642059994721
2022.0,1.0,1.0211766277520702
2022.0,2.0,0.936259335129823
